epsilon,epsilon_label,repeat,auprc,roc_auc,threshold,precision,recall,f1,alerts,frauds_caught
0.01,0.01,0,0.0021,0.445537,1.0,0.0,0.0,0.0,173,0
0.01,0.01,1,0.000914,0.080675,1.0,0.0,0.0,0.0,54,0
0.01,0.01,2,0.004791,0.603851,1.0,0.01581,0.040816,0.022792,253,4
0.01,0.01,3,0.011501,0.664027,0.999845,0.030769,0.142857,0.050633,455,14
0.01,0.01,4,0.002554,0.462059,1.0,0.020134,0.030612,0.024291,149,3
0.01,0.01,5,0.00102,0.126337,0.0,0.001633,0.94898,0.00326,56953,93
0.01,0.01,6,0.456783,0.950278,1.0,0.574468,0.55102,0.5625,94,54
0.01,0.01,7,0.085436,0.869693,1.0,0.189655,0.22449,0.205607,116,22
0.01,0.01,8,0.00316,0.429595,0.018825,0.004498,0.030612,0.007843,667,3
0.01,0.01,9,0.091733,0.781689,0.999329,0.132296,0.346939,0.191549,257,34
0.01,0.01,10,0.001106,0.182328,1.0,0.004464,0.010204,0.006211,224,1
0.01,0.01,11,0.282009,0.749188,0.999921,0.618182,0.346939,0.444444,55,34
0.01,0.01,12,0.007372,0.444157,1.0,0.089286,0.05102,0.064935,56,5
0.01,0.01,13,0.116369,0.78654,0.0,0.275862,0.163265,0.205128,58,16
0.01,0.01,14,0.016151,0.658985,0.996918,0.055944,0.163265,0.083333,286,16
0.01,0.01,15,0.001355,0.374472,0.999763,0.004184,0.010204,0.005935,239,1
0.01,0.01,16,0.030028,0.65441,0.999984,0.080153,0.214286,0.116667,262,21
0.01,0.01,17,0.002047,0.447278,0.546938,0.001319,0.010204,0.002336,758,1
0.01,0.01,18,0.041981,0.53199,0.994958,0.069444,0.153061,0.095541,216,15
0.01,0.01,19,0.001187,0.314156,0.998696,0.0,0.0,0.0,314,0
0.05,0.05,0,0.00317,0.566261,1.0,0.0,0.0,0.0,140,0
0.05,0.05,1,0.000919,0.085305,1.0,0.0,0.0,0.0,22,0
0.05,0.05,2,0.015461,0.741265,0.999871,0.038997,0.142857,0.061269,359,14
0.05,0.05,3,0.061964,0.760514,1.0,0.2,0.193878,0.196891,95,19
0.05,0.05,4,0.005388,0.670073,1.0,0.034483,0.030612,0.032432,87,3
0.05,0.05,5,0.001085,0.180192,0.0,0.001651,0.959184,0.003297,56922,94
0.05,0.05,6,0.491229,0.951289,1.0,0.606742,0.55102,0.57754,89,54
0.05,0.05,7,0.18627,0.907351,0.999994,0.212291,0.387755,0.274368,179,38
0.05,0.05,8,0.008728,0.545238,0.136807,0.023256,0.071429,0.035088,301,7
0.05,0.05,9,0.142837,0.819425,0.952137,0.172996,0.418367,0.244776,237,41
0.05,0.05,10,0.001274,0.226756,0.9998,0.005155,0.010204,0.006849,194,1
0.05,0.05,11,0.373285,0.800589,0.999984,0.671642,0.459184,0.545455,67,45
0.05,0.05,12,0.026918,0.538268,0.998877,0.084615,0.112245,0.096491,130,11
0.05,0.05,13,0.36176,0.840809,0.0,0.567164,0.387755,0.460606,67,38
0.05,0.05,14,0.139308,0.798927,0.999947,0.3,0.244898,0.269663,80,24
0.05,0.05,15,0.002685,0.513958,0.882422,0.004,0.010204,0.005747,250,1
0.05,0.05,16,0.07292,0.742382,0.999983,0.155556,0.285714,0.201439,180,28
0.05,0.05,17,0.005424,0.565499,0.693677,0.018237,0.061224,0.028103,329,6
0.05,0.05,18,0.230046,0.611735,0.998049,0.294118,0.255102,0.273224,85,25
0.05,0.05,19,0.003722,0.462479,0.982042,0.018018,0.040816,0.025,222,4
0.1,0.1,0,0.008141,0.770273,1.0,0.005988,0.010204,0.007547,167,1
0.1,0.1,1,0.000926,0.099888,1.0,0.0,0.0,0.0,11,0
0.1,0.1,2,0.063468,0.845881,1.0,0.114754,0.214286,0.149466,183,21
0.1,0.1,3,0.20066,0.832268,1.0,0.44898,0.22449,0.29932,49,22
0.1,0.1,4,0.017397,0.833326,0.154939,0.029895,0.204082,0.052151,669,20
